#,Título
1,"¡Jefe! ¡Dame a tu hija!"
2,"¡Por Favor, No Entres En La Papelería De La Villana De Esta Historia!"
3,"¡Te corres y pierdes! -Luchando con un pervertido-"
4,"¿Dónde está la lealtad a la villana?"
5,"¿Por qué estás obsesionado con tu esposa falsa?"
6,"""Kukuku....... Él es el Más Débil de Los Cuatro Monarcas Celestiales."" Me Despidieron de mi Trabajo, Pero de Alguna Manera me Convertí en el Maestro de una Heroína y una Santa."
7,"""Yo... no quiero trabajar más"" Dejé de ser un aventurero. Aunque me traten mejor ahora, no lo haré. No volveré a trabajar."
8,"♥Shameful Vending Machine"
9,"29-sai Dokushin wa Isekai de Jiyuu ni Ikita......katta."
10,"4 Cut Hero"
11,"Tsuihōsareta Ochikobore, Henkyō de Ikinuite S-Rank Taimashi ni Nariagaru "
12,"Pervert's Daily Lives"
13,"La Magia de un Retornado Debe Ser Especial"
14,"Seré la madrastra en esta historia, pero evitare mi muerte destinada"
15,"A Rank Party wo Ridatsu Shita Ore wa, Moto Oshiego Tachi to Meikyuu Shinbu wo Mezasu"
16,"Academia sexual"
17,"Jugador que regresó 10.000 años después"
18,"Aitsu no Kanojo"
19,"La persona que me gusta es un poco... ya sabes, y estoy teniendo problemas para ocultar mi asombro."
20,"Akuyaku Reijou Level 99: Watashi wa Ura Boss desu ga Maou de wa Arimasen"
21,"Akuyaku Reijou no Shitsuji-sama: Hametsu Flag wa Ore ga Tsubusasete Itadakimasu"
22,"Alguien ha poseído mi cuerpo"
23,"Amigo de la infancia Zenith"
24,"An Innocent Sin"
25,"Ansatsu Skill de Isekai Saikyou: Renkinjutsu to Ansatsujutsu wo Kiwameta Ore wa, Sekai wo Kage kara Shihai suru"
26,"Assassin de aru ore no Sutetasu ga Yuusha yori mo Akiraka ni Tsuyoi Nodaga"
27,"Apotheosis - Elevation to the status of a god"
28,"Appetite"
29,"El Francotirador de Nivel Arcano"
30,"Arifureta Shokugyou de Sekai Saikyou"
31,"Ashitaba-san Chi no Muko Kurashi"
32,"Así no se Hace"
33,"Assassin's Pride"
34,"Bannou ""Murazukuri"" Cheat de Otegaru Slow Life ~Mura desu ga Nani ka?~"
35,"Viviendo junto con una chica llorona y divorciada"
36,"De un simple soldado a monarca"
37,"Soy un sanador en un mundo donde la belleza y la fealdad están invertidas"
38,"Black Clover"
39,"Esclavo de la orden de los caballeros"
40,"Blavet"
41,"Bleach"
42,"Boku Dake Shitteru Ichinomiya-san"
43,"Bokura no Fushidara"
44,"Bon Appétit"
45,"Boruto: Naruto Next Generations"
46," Botsuraku Yotei no Kizoku dakedo, Hima datta kara Mahou wo Kiwamete Mita"
47,"Boushoku no Berserk: Ore dake Level to Iu Gainen wo Toppa suru the Comic"
48,"Bug player"
49,"Ansatsu Skill de Isekai Saikyou: Renkinjutsu to Ansatsujutsu wo Kiwameta Ore wa, Sekai wo Kage kara Shihai suru"
50,"Assassin de aru ore no Sutetasu ga Yuusha yori mo Akiraka ni Tsuyoi Nodaga"
51,"Apotheosis - Elevation to the status of a god"
52,"Appetite"
53,"El Francotirador de Nivel Arcano"
54,"Arifureta Shokugyou de Sekai Saikyou"
55,"Ashitaba-san Chi no Muko Kurashi"
56,"Así no se Hace"
57,"Assassin's Pride"
58,"Bannou ""Murazukuri"" Cheat de Otegaru Slow Life ~Mura desu ga Nani ka?~"
59,"Viviendo junto con una chica llorona y divorciada"
60,"De un simple soldado a monarca"
61,"Soy un sanador en un mundo donde la belleza y la fealdad están invertidas"
62,"Black Clover"
63,"Esclavo de la orden de los caballeros"
64,"Blavet"
65,"Bleach"
66,"Boku Dake Shitteru Ichinomiya-san"
67,"Bokura no Fushidara"
68,"Bon Appétit"
69,"Boruto: Naruto Next Generations"
70," Botsuraku Yotei no Kizoku dakedo, Hima datta kara Mahou wo Kiwamete Mita"
71,"Boushoku no Berserk: Ore dake Level to Iu Gainen wo Toppa suru the Comic"
72,"Bug player"
73,"Bullied Boy's Tongue Revenge"
74,"Fui desterrado de la Nación Oscura, pero no tengo ningún problema porque tengo [espíritus invocados totalmente automáticos]"
75,"¿Puedo Ayudarte?"
76,"Cazador de milfs en otro mundo"
77,"Heroe Suicida de Clase SSS"
78,"Centuria"
79,"Hame wa me Chaaaansu! ~Rabuho Onagokai ni Tobiiri Sanka"
80,"CHITRA"
81,"Chiyu Mahou no Machigatta Tsukaikata - Senjou o Kakeru Kaifuku Youin "
82,"Chuusotsu Worker kara Hajimeru Koukou Seikatsu Roudousha"
83,"Circle Zero's Otherworldly Hero Business"
84,"Combat Continent"
85,"Combate continental 2: La Incomparable secta tang"
86,"Combate Continental 3: La leyenda del Rey Dragon"
87,"How to Hide the Emperor's Child"
88,"Cómo Proteger Al Hermano Mayor De La Protagonista "
89,"CÓMO RECHAZAR LA OBSESIÓN DE MI EX-MARIDO"
90,"Cómo se retira un nigromante catastrófico "
91,"Convertí a la villana en mi mascota"
92,"Cowgirl´s Riding-Position Makes Me Cum"
93,"Crié A Mi Prometido Con Dinero"
94,"I Raised A Beautiful Cinderella"
95,"Cuando me retiré de ser un Rey Demonio"
96,"Cuidado con la Villana !"
97,"Bullied Boy's Tongue Revenge"
98,"Fui desterrado de la Nación Oscura, pero no tengo ningún problema porque tengo [espíritus invocados totalmente automáticos]"
99,"¿Puedo Ayudarte?"
100,"Cazador de milfs en otro mundo"
101,"Heroe Suicida de Clase SSS"
102,"Centuria"
103,"Hame wa me Chaaaansu! ~Rabuho Onagokai ni Tobiiri Sanka"
104,"CHITRA"
105,"Chiyu Mahou no Machigatta Tsukaikata - Senjou o Kakeru Kaifuku Youin "
106,"Chuusotsu Worker kara Hajimeru Koukou Seikatsu Roudousha"
107,"Circle Zero's Otherworldly Hero Business"
108,"Combat Continent"
109,"Combate continental 2: La Incomparable secta tang"
110,"Combate Continental 3: La leyenda del Rey Dragon"
111,"How to Hide the Emperor's Child"
112,"Cómo Proteger Al Hermano Mayor De La Protagonista "
113,"CÓMO RECHAZAR LA OBSESIÓN DE MI EX-MARIDO"
114,"Cómo se retira un nigromante catastrófico "
115,"Convertí a la villana en mi mascota"
116,"Cowgirl´s Riding-Position Makes Me Cum"
117,"Crié A Mi Prometido Con Dinero"
118,"I Raised A Beautiful Cinderella"
119,"Cuando me retiré de ser un Rey Demonio"
120,"Cuidado con la Villana !"
121,"Cultivation Chat Group"
122,"Dandadan"
123,"La legendaria villana que desapareció en la guillotina espera la paz en su segunda vida"
124,"Darwin's Game "
125,"DE TODAS FORMAS, ES ROFAN"
126,"Death March kara Hajimaru Isekai Kyousoukyoku"
127,"Under the Oak Tree"
128,"Deep Love - Ayu no Monogatari"
129,"El principe demonio va a la academia"
130,"Demon X Angel - No Pueden Llevarse Bien"
131,"Mang Huang Ji "
132,"El objeto extraño era yo"
133,"Devil Drop"
134,"Devilchi"
135,"Dome Al Perro Corrompido Del Palacio"
136,"Dorei Tensei: Sono Dorei, Saikyou no Moto Ouji ni Tsuki"
137,"Batalla a través de los cielos "
138,"Dr. Stone"
139,"Dr. Stone Reboot: Byakuya"
140,"Drunken Temptation"
141,"DUNGEON KURASHI NO MOTO YUUSHA"
142,"El anciano que se dio cuenta que tenia un talento natural a los 60 años"
143,"The Broken Ring: This Marriage Will Fail Anyway"
144,"El asesino de la luna a la deriva"
145,"Cultivation Chat Group"
146,"Dandadan"
147,"La legendaria villana que desapareció en la guillotina espera la paz en su segunda vida"
148,"Darwin's Game "
149,"DE TODAS FORMAS, ES ROFAN"
150,"Death March kara Hajimaru Isekai Kyousoukyoku"
151,"Under the Oak Tree"
152,"Deep Love - Ayu no Monogatari"
153,"El principe demonio va a la academia"
154,"Demon X Angel - No Pueden Llevarse Bien"
155,"Mang Huang Ji "
156,"El objeto extraño era yo"
157,"Devil Drop"
158,"Devilchi"
159,"Dome Al Perro Corrompido Del Palacio"
160,"Dorei Tensei: Sono Dorei, Saikyou no Moto Ouji ni Tsuki"
161,"Batalla a través de los cielos "
162,"Dr. Stone"
163,"Dr. Stone Reboot: Byakuya"
164,"Drunken Temptation"
165,"DUNGEON KURASHI NO MOTO YUUSHA"
166,"El anciano que se dio cuenta que tenia un talento natural a los 60 años"
167,"The Broken Ring: This Marriage Will Fail Anyway"
168,"El asesino de la luna a la deriva"
169,"El Asesino mas fuerte es transferido a otro mundo con toda su clase"
170,"El decimoséptimo hijo"
171,"El dios marcial que regresó al nivel 2"
172,"The great ruler"
173,"El hijo de otra persona"
174,"El hijo menor del clan NamGung"
175,"El incidente en la tienda de masajes - Hipnosis"
176,"El Monstruoso Duque Me Confundió Con Su Esposa"
177,"El Nigromante que No Quiere una Cuarta Vez"
178,"El privilegio de una Transmigrante"
179,"El Regreso del Emperador Inmortal"
180,"The Great Mage Returns After 4000 Years"
181,"Return of the 8th Class Magician"
182,"El secreto de Jae-kyung"
183,"El tutorial es demasiado difícil"
184,"El villano rubio de la novela de la protagonista quiere ser feliz"
185,"Emperador inmortal Luo Wuji"
186,"Emperador Mágico"
187,"Emperatriz de Otro Mundo"
188,"En el regazo de su Majestad"
189,"SERÉ LA MATRIARCA EN ESTA VIDA"
190,"En mi Bar el dar Orgasmos es mi Trabajo"
191,"En no Shita no Chikara Mocher: Maou Toubatsu shitara Wakagaetta node, Gakuen de Kage kara Support shimasu"
192,"Encontré Un Esposo Cuando Recogí Al Protagonista Masculino"
193,"El Asesino mas fuerte es transferido a otro mundo con toda su clase"
194,"El decimoséptimo hijo"
195,"El dios marcial que regresó al nivel 2"
196,"The great ruler"
197,"El hijo de otra persona"
198,"El hijo menor del clan NamGung"
199,"El incidente en la tienda de masajes - Hipnosis"
200,"El Monstruoso Duque Me Confundió Con Su Esposa"
201,"El Nigromante que No Quiere una Cuarta Vez"
202,"El privilegio de una Transmigrante"
203,"El Regreso del Emperador Inmortal"
204,"The Great Mage Returns After 4000 Years"
205,"Return of the 8th Class Magician"
206,"El secreto de Jae-kyung"
207,"El tutorial es demasiado difícil"
208,"El villano rubio de la novela de la protagonista quiere ser feliz"
209,"Emperador inmortal Luo Wuji"
210,"Emperador Mágico"
211,"Emperatriz de Otro Mundo"
212,"En el regazo de su Majestad"
213,"SERÉ LA MATRIARCA EN ESTA VIDA"
214,"En mi Bar el dar Orgasmos es mi Trabajo"
215,"En no Shita no Chikara Mocher: Maou Toubatsu shitara Wakagaetta node, Gakuen de Kage kara Support shimasu"
216,"Encontré Un Esposo Cuando Recogí Al Protagonista Masculino"
217,"Enen no Shouboutai"
218,"It's the first time they love me"
219,"This Is an Obvious Fraudulent Marriage"
220,"Este Bebe No Es Tuyo"
221,"Estio"
222,"Estoy Siendo Criada Por Villanos "
223,"Fairy Tail"
224,"Fairy Tail: 100 Years Quest"
225,"FALLE AL DIVORCIARME DE MI ESPOSO"
226,"Feng Shen Ji"
227,"Feng Shen Ji III"
228,"Fenglin Tianxia - Wangfei Shisansu"
229,"FFF-Class Trashero"
230,"Follando a mi sobrina en su fiesta de pijamas"
231,"Me jubilaré después de salvar el mundo"
232,"Fox Tales"
233,"Friends or F-buddies"
234,"Soy el Dios de los Goblins"
235,"Fue comprado por el rey demonio justo antes del final"
236,"Fukushuu wo Koinegau Saikyou Yuusha wa, Yami no Chikara de Senmetsu Musou suru"
237,"Futaba-san Chi no Kyoudai"
238,"Gal Mama to Pakopako SEX: Hitozuma no Chouzetsu Tech ni Maji Iki Zecchou!"
239,"Game of Familia: Kazoku Senki"
240,"GATE: Jieitai Kano Chi nite, Kaku Tatakaeri"
241,"Enen no Shouboutai"
242,"It's the first time they love me"
243,"This Is an Obvious Fraudulent Marriage"
244,"Este Bebe No Es Tuyo"
245,"Estio"
246,"Estoy Siendo Criada Por Villanos "
247,"Fairy Tail"
248,"Fairy Tail: 100 Years Quest"
249,"FALLE AL DIVORCIARME DE MI ESPOSO"
250,"Feng Shen Ji"
251,"Feng Shen Ji III"
252,"Fenglin Tianxia - Wangfei Shisansu"
253,"FFF-Class Trashero"
254,"Follando a mi sobrina en su fiesta de pijamas"
255,"Me jubilaré después de salvar el mundo"
256,"Fox Tales"
257,"Friends or F-buddies"
258,"Soy el Dios de los Goblins"
259,"Fue comprado por el rey demonio justo antes del final"
260,"Fukushuu wo Koinegau Saikyou Yuusha wa, Yami no Chikara de Senmetsu Musou suru"
261,"Futaba-san Chi no Kyoudai"
262,"Gal Mama to Pakopako SEX: Hitozuma no Chouzetsu Tech ni Maji Iki Zecchou!"
263,"Game of Familia: Kazoku Senki"
264,"GATE: Jieitai Kano Chi nite, Kaku Tatakaeri"
265,"Gedou Tenisha no Harem Dungeon Seisakuki"
266,"Genjitsushugi Yuusha no Oukoku Saikenki"
267,"Gestión de las relaciones laborales"
268,"Gleipnir"
269,"Dios de las artes marciales"
270,"Asesino de nivel dios, soy la Sombra"
271,"Good Reaper"
272,"Goshujinsama to Yuku Isekai Survival!"
